onset	duration	sample	value	gid
24.365234375	n/a	24951	1111	0
24.365234375	n/a	24951	1231	0
24.365234375	n/a	24951	1311	1137
31.7294921875	n/a	32492	2110	0
43.3740234375	n/a	44416	1312	1137
43.3740234375	n/a	44416	1311	1066
54.8369140625	n/a	56154	2110	0
55.4091796875	n/a	56740	1312	1066
55.4091796875	n/a	56740	1321	4017
62.755859375	n/a	64263	2120	0
114.5546875	n/a	117305	1322	4017
114.5546875	n/a	117305	1311	1063
126.76171875	n/a	129805	2120	0
130.0283203125	n/a	133150	1312	1063
130.0283203125	n/a	133150	1311	1016
137.5771484375	n/a	140880	2110	0
138.1494140625	n/a	141466	1312	1016
138.1494140625	n/a	141466	1311	1102
145.4326171875	n/a	148924	2110	0
146.00390625	n/a	149509	1312	1102
146.00390625	n/a	149509	1331	4028
150.6572265625	n/a	154274	2120	0
153.146484375	n/a	156823	1332	4028
153.146484375	n/a	156823	1311	1065
157.576171875	n/a	161359	2110	0
158.1435546875	n/a	161940	1312	1065
158.1435546875	n/a	161940	1311	1186
163.392578125	n/a	167315	2110	0
163.9638671875	n/a	167900	1312	1186
163.9638671875	n/a	167900	1311	1056
169.1201171875	n/a	173180	2110	0
169.6923828125	n/a	173766	1312	1056
169.6923828125	n/a	173766	1311	1045
174.73828125	n/a	178933	2110	0
175.30859375	n/a	179517	1312	1045
175.30859375	n/a	179517	1311	1166
182.18359375	n/a	186557	2110	0
182.7568359375	n/a	187144	1312	1166
182.7568359375	n/a	187144	1311	1154
187.3193359375	n/a	191816	2110	0
187.888671875	n/a	192399	1312	1154
187.888671875	n/a	192399	1311	1239
197.1591796875	n/a	201892	2110	0
197.734375	n/a	202481	1312	1239
197.734375	n/a	202481	1311	1092
204.54296875	n/a	209453	2110	0
205.1171875	n/a	210041	1312	1092
205.1171875	n/a	210041	1311	1068
210.5263671875	n/a	215580	2110	0
211.0986328125	n/a	216166	1312	1068
211.0986328125	n/a	216166	1321	4004
217.2939453125	n/a	222510	2120	0
234.3896484375	n/a	240016	1322	4004
234.3896484375	n/a	240016	1311	1232
246.6611328125	n/a	252582	2110	0
247.23046875	n/a	253165	1312	1232
247.23046875	n/a	253165	1311	1031
251.3330078125	n/a	257366	2110	0
251.90234375	n/a	257949	1312	1031
251.90234375	n/a	257949	1321	4013
258.533203125	n/a	264739	2120	0
261.6796875	n/a	267961	1322	4013
261.6796875	n/a	267961	1311	1229
270.98046875	n/a	277485	2120	0
274.3017578125	n/a	280886	1312	1229
274.3017578125	n/a	280886	1311	1203
278.755859375	n/a	285447	2110	0
279.3291015625	n/a	286034	1312	1203
279.3291015625	n/a	286034	1331	4025
282.3681640625	n/a	289146	2120	0
284.7314453125	n/a	291566	1332	4025
284.7314453125	n/a	291566	1331	4029
287.34765625	n/a	294245	2120	0
288.9423828125	n/a	295878	1332	4029
288.9423828125	n/a	295878	1361	4048
294.2431640625	n/a	301306	2120	0
296.669921875	n/a	303791	1362	4048
296.669921875	n/a	303791	1311	1115
301.203125	n/a	308433	2110	0
301.7744140625	n/a	309018	1312	1115
301.7744140625	n/a	309018	1311	1124
305.451171875	n/a	312783	2110	0
306.0185546875	n/a	313364	1312	1124
306.0185546875	n/a	313364	1311	1192
309.4912109375	n/a	316920	2110	0
310.0595703125	n/a	317502	1312	1192
310.0595703125	n/a	317502	1311	1133
313.71484375	n/a	321245	2110	0
314.2861328125	n/a	321830	1312	1133
314.2861328125	n/a	321830	1311	1148
318.0986328125	n/a	325734	2110	0
318.72265625	n/a	326373	1312	1148
318.72265625	n/a	326373	1232	0
329.3017578125	n/a	337206	1231	0
329.3017578125	n/a	337206	1311	1134
332.9384765625	n/a	340930	2110	0
336.2744140625	n/a	344346	1312	1134
336.2744140625	n/a	344346	1331	4024
342.666015625	n/a	350891	2120	0
344.60546875	n/a	352877	1332	4024
344.60546875	n/a	352877	1311	1034
348.8095703125	n/a	357182	2110	0
349.3818359375	n/a	357768	1312	1034
