onset	duration	sample	value	gid
58.046875	n/a	59441	1111	0
58.046875	n/a	59441	1231	0
58.046875	n/a	59441	1311	1206
71.5498046875	n/a	73268	2110	0
91.2421875	n/a	93433	1312	1206
91.2421875	n/a	93433	1311	1207
106.5390625	n/a	109097	2110	0
116.1630859375	n/a	118952	1312	1207
116.1630859375	n/a	118952	1311	1056
130.6396484375	n/a	133776	2110	0
131.21484375	n/a	134365	1312	1056
131.21484375	n/a	134365	1331	4023
141.45703125	n/a	144853	2120	0
146.02734375	n/a	149533	1332	4023
146.02734375	n/a	149533	1311	1135
158.982421875	n/a	162799	2110	0
159.5556640625	n/a	163386	1312	1135
159.5556640625	n/a	163386	1311	1197
171.494140625	n/a	175611	2110	0
172.068359375	n/a	176199	1312	1197
172.068359375	n/a	176199	1311	1018
182.509765625	n/a	186891	2110	0
183.078125	n/a	187473	1312	1018
183.078125	n/a	187473	1311	1174
198.8994140625	n/a	203674	2110	0
199.47265625	n/a	204261	1312	1174
199.47265625	n/a	204261	1311	1024
213.1650390625	n/a	218282	2110	0
213.7373046875	n/a	218868	1312	1024
213.7373046875	n/a	218868	1311	1146
224.412109375	n/a	229799	2110	0
224.984375	n/a	230385	1312	1146
224.984375	n/a	230385	1311	1026
232.6923828125	n/a	238278	2110	0
233.2626953125	n/a	238862	1312	1026
233.2626953125	n/a	238862	1311	1201
239.9560546875	n/a	245716	2110	0
240.53125	n/a	246305	1312	1201
240.53125	n/a	246305	1311	1128
250.1396484375	n/a	256144	2110	0
250.7080078125	n/a	256726	1312	1128
250.7080078125	n/a	256726	1311	1002
258.38671875	n/a	264589	2110	0
258.9619140625	n/a	265178	1312	1002
258.9619140625	n/a	265178	1311	1130
265.044921875	n/a	271407	2110	0
265.6181640625	n/a	271994	1312	1130
265.6181640625	n/a	271994	1331	4034
280.345703125	n/a	287075	2120	0
286.078125	n/a	292945	1332	4034
286.078125	n/a	292945	1331	4025
298.2041015625	n/a	305362	2120	0
300.5244140625	n/a	307738	1332	4025
300.5244140625	n/a	307738	1311	1031
307.7158203125	n/a	315102	2110	0
308.287109375	n/a	315687	1312	1031
308.287109375	n/a	315687	1311	1116
314.224609375	n/a	321767	2110	0
314.7919921875	n/a	322348	1312	1116
314.7919921875	n/a	322348	1321	4006
320.568359375	n/a	328263	2120	0
323.9814453125	n/a	331758	1322	4006
323.9814453125	n/a	331758	1311	1023
331.736328125	n/a	339699	2110	0
332.30859375	n/a	340285	1312	1023
332.30859375	n/a	340285	1351	4053
351.6875	n/a	360129	2110	0
352.2607421875	n/a	360716	1352	4053
352.2607421875	n/a	360716	1311	1225
359.54296875	n/a	368173	2110	0
360.154296875	n/a	368799	1312	1225
360.154296875	n/a	368799	1232	0
456.2841796875	n/a	467236	1231	0
456.2841796875	n/a	467236	1311	1098
463.01953125	n/a	474133	2110	0
465.349609375	n/a	476519	1312	1098
465.349609375	n/a	476519	1331	4029
472.9990234375	n/a	484352	2120	0
475.83203125	n/a	487253	1332	4029
475.83203125	n/a	487253	1311	1172
480.2822265625	n/a	491810	2110	0
480.8525390625	n/a	492394	1312	1172
480.8525390625	n/a	492394	1311	1055
486.833984375	n/a	498519	2110	0
487.4052734375	n/a	499104	1312	1055
487.4052734375	n/a	499104	1311	1062
493.0009765625	n/a	504834	2110	0
493.5673828125	n/a	505414	1312	1062
493.5673828125	n/a	505414	1311	1182
499.42578125	n/a	511413	2110	0
499.9990234375	n/a	512000	1312	1182
499.9990234375	n/a	512000	1311	1158
506.099609375	n/a	518247	2110	0
506.6669921875	n/a	518828	1312	1158
506.6669921875	n/a	518828	1311	1251
514.28125	n/a	526625	2110	0
514.8525390625	n/a	527210	1312	1251
514.8525390625	n/a	527210	1311	1230
524.955078125	n/a	537555	2110	0
525.5263671875	n/a	538140	1312	1230
525.5263671875	n/a	538140	1341	4039
534.9521484375	n/a	547792	2120	0
541.474609375	n/a	554471	1342	4039
541.474609375	n/a	554471	1331	4032
547.4638671875	n/a	560604	2120	0
587.2890625	n/a	601385	1332	4032
587.2890625	n/a	601385	1311	1032
593.23828125	n/a	607477	2110	0
593.8076171875	n/a	608060	1312	1032
593.8076171875	n/a	608060	1311	1127
599.685546875	n/a	614079	2110	0
600.255859375	n/a	614663	1312	1127
600.255859375	n/a	614663	1311	1198
606.8857421875	n/a	621452	2110	0
607.45703125	n/a	622037	1312	1198
607.45703125	n/a	622037	1311	1250
613.3818359375	n/a	628104	2110	0
613.9501953125	n/a	628686	1312	1250
613.9501953125	n/a	628686	1361	4048
620.541015625	n/a	635435	2110	0
621.111328125	n/a	636019	1362	4048
621.111328125	n/a	636019	1311	1214
626.0107421875	n/a	641036	2110	0
626.5810546875	n/a	641620	1312	1214
626.5810546875	n/a	641620	1311	1008
637.0126953125	n/a	652302	2110	0
637.58203125	n/a	652885	1312	1008
637.58203125	n/a	652885	1311	1191
643.607421875	n/a	659055	2110	0
644.1748046875	n/a	659636	1312	1191
644.1748046875	n/a	659636	1311	1232
648.7080078125	n/a	664278	2110	0
649.2783203125	n/a	664862	1312	1232
649.2783203125	n/a	664862	1311	1010
653.96875	n/a	669665	2110	0
654.5400390625	n/a	670250	1312	1010
654.5400390625	n/a	670250	1311	1211
661.9716796875	n/a	677860	2110	0
662.544921875	n/a	678447	1312	1211
662.544921875	n/a	678447	1351	4055
673.01171875	n/a	689165	2120	0
678.4404296875	n/a	694724	1352	4055
678.4404296875	n/a	694724	1311	1163
684.810546875	n/a	701247	2110	0
685.3837890625	n/a	701834	1312	1163
685.3837890625	n/a	701834	1311	1249
689.8505859375	n/a	706408	2110	0
690.41796875	n/a	706989	1312	1249
690.41796875	n/a	706989	1341	4041
696.3623046875	n/a	713076	2110	0
696.9365234375	n/a	713664	1342	4041
696.9365234375	n/a	713664	1321	4018
702.1171875	n/a	718969	2120	0
705.388671875	n/a	722319	1322	4018
705.388671875	n/a	722319	1232	0
736.412109375	n/a	754087	1231	0
