onset	duration	sample	value	gid
0.0009765625	n/a	2	3232	0
9.2060546875	n/a	9428	1231	0
9.2060546875	n/a	9428	1311	1154
12.9716796875	n/a	13284	2110	0
13.56640625	n/a	13893	1312	1154
13.56640625	n/a	13893	1331	4031
21.1552734375	n/a	21664	2120	0
23.693359375	n/a	24263	1332	4031
23.693359375	n/a	24263	1311	1068
33.5234375	n/a	34329	2110	0
34.1171875	n/a	34937	1312	1068
34.1171875	n/a	34937	1311	1005
39.0107421875	n/a	39948	2110	0
39.6083984375	n/a	40560	1312	1005
39.6083984375	n/a	40560	1311	1079
43.61328125	n/a	44661	2110	0
44.20703125	n/a	45269	1312	1079
44.20703125	n/a	45269	1311	1089
48.505859375	n/a	49671	2110	0
49.08984375	n/a	50269	1312	1089
49.08984375	n/a	50269	1311	1147
53.07421875	n/a	54349	2110	0
53.6630859375	n/a	54952	1312	1147
53.6630859375	n/a	54952	1311	1077
58.5458984375	n/a	59952	2110	0
59.1416015625	n/a	60562	1312	1077
59.1416015625	n/a	60562	1311	1087
66.8095703125	n/a	68414	2110	0
67.4033203125	n/a	69022	1312	1087
67.4033203125	n/a	69022	1311	1018
72.1376953125	n/a	73870	2110	0
87.5712890625	n/a	89674	1312	1018
87.5712890625	n/a	89674	1311	1124
96.216796875	n/a	98527	2110	0
96.8173828125	n/a	99142	1312	1124
96.8173828125	n/a	99142	1311	1211
102.9921875	n/a	105465	2110	0
141.56640625	n/a	144965	1312	1211
141.56640625	n/a	144965	1311	1230
149.046875	n/a	152625	2110	0
159.4521484375	n/a	163280	1312	1230
159.4521484375	n/a	163280	1311	1034
166.6142578125	n/a	170614	2110	0
167.208984375	n/a	171223	1312	1034
167.208984375	n/a	171223	1311	1162
175.0615234375	n/a	179264	2110	0
175.658203125	n/a	179875	1312	1162
175.658203125	n/a	179875	1311	1247
179.5732421875	n/a	183884	2110	0
180.1650390625	n/a	184490	1312	1247
180.1650390625	n/a	184490	1311	1061
184.4453125	n/a	188873	2110	0
185.013671875	n/a	189455	1312	1061
185.013671875	n/a	189455	1311	1139
189.3251953125	n/a	193870	2110	0
189.8935546875	n/a	194452	1312	1139
189.8935546875	n/a	194452	1311	1237
193.365234375	n/a	198007	2110	0
193.9580078125	n/a	198614	1312	1237
193.9580078125	n/a	198614	1321	4009
200.4287109375	n/a	205240	2120	0
203.025390625	n/a	207899	1322	4009
203.025390625	n/a	207899	1311	1144
208.0048828125	n/a	212998	2110	0
208.6064453125	n/a	213614	1312	1144
208.6064453125	n/a	213614	1331	4037
212.1640625	n/a	217257	2120	0
215.1943359375	n/a	220360	1332	4037
215.1943359375	n/a	220360	1311	1038
220.8359375	n/a	226137	2110	0
221.4326171875	n/a	226748	1312	1038
221.4326171875	n/a	226748	1311	1116
231.00390625	n/a	236549	2110	0
231.595703125	n/a	237155	1312	1116
231.595703125	n/a	237155	1311	1214
240.2431640625	n/a	246010	2110	0
240.837890625	n/a	246619	1312	1214
240.837890625	n/a	246619	1311	1049
245.0830078125	n/a	250966	2110	0
245.6728515625	n/a	251570	1312	1049
245.6728515625	n/a	251570	1311	1130
248.7412109375	n/a	254712	2110	0
249.3125	n/a	255297	1312	1130
249.3125	n/a	255297	1321	4008
255.1875	n/a	261313	2120	0
257.986328125	n/a	264179	1322	4008
257.986328125	n/a	264179	1311	1001
262.9384765625	n/a	269250	2110	0
263.52734375	n/a	269853	1312	1001
263.52734375	n/a	269853	1341	4043
270.490234375	n/a	276983	2120	0
273.5947265625	n/a	280162	1342	4043
273.5947265625	n/a	280162	1311	1030
282.4091796875	n/a	289188	2110	0
283.236328125	n/a	290035	1312	1030
283.236328125	n/a	290035	1232	0
304.4111328125	n/a	311718	1231	0
304.4111328125	n/a	311718	1311	1192
310.0	n/a	317441	2110	0
318.3876953125	n/a	326030	1312	1192
318.3876953125	n/a	326030	1331	4033
327.9599609375	n/a	335832	2120	0
330.8876953125	n/a	338830	1332	4033
330.8876953125	n/a	338830	1311	1043
335.9853515625	n/a	344050	2110	0
