onset	duration	sample	value	gid
13.5107421875	n/a	13836	1111	0
13.5107421875	n/a	13836	1231	0
13.5107421875	n/a	13836	1311	1106
22.7119140625	n/a	23258	2110	0
23.287109375	n/a	23847	1312	1106
23.287109375	n/a	23847	1311	1013
31.6435546875	n/a	32404	2110	0
32.2158203125	n/a	32990	1312	1013
32.2158203125	n/a	32990	1331	4031
43.4990234375	n/a	44544	2110	0
44.06640625	n/a	45125	1332	4031
44.06640625	n/a	45125	1311	1175
54.4345703125	n/a	55742	2110	0
55.0068359375	n/a	56328	1312	1175
55.0068359375	n/a	56328	1311	1037
68.833984375	n/a	70487	2110	0
69.4052734375	n/a	71072	1312	1037
69.4052734375	n/a	71072	1321	4006
75.8984375	n/a	77721	2120	0
80.404296875	n/a	82335	1322	4006
80.404296875	n/a	82335	1351	4053
84.833984375	n/a	86871	2120	0
88.3642578125	n/a	90486	1352	4053
88.3642578125	n/a	90486	1311	1001
97.9375	n/a	100289	2110	0
98.509765625	n/a	100875	1312	1001
98.509765625	n/a	100875	1321	4009
108.48046875	n/a	111085	2120	0
111.3642578125	n/a	114038	1322	4009
111.3642578125	n/a	114038	1311	1087
118.873046875	n/a	121727	3241	0
120.1123046875	n/a	122996	2110	0
139.548828125	n/a	142899	1312	1087
139.548828125	n/a	142899	1311	1070
149.798828125	n/a	153395	2110	0
196.654296875	n/a	201375	1312	1070
196.654296875	n/a	201375	1311	1025
208.2529296875	n/a	213252	2110	0
208.822265625	n/a	213835	1312	1025
208.822265625	n/a	213835	1311	1227
218.453125	n/a	223697	2110	0
219.0234375	n/a	224281	1312	1227
219.0234375	n/a	224281	1311	1136
231.1904296875	n/a	236740	2120	0
234.919921875	n/a	240559	1312	1136
234.919921875	n/a	240559	1311	1104
245.8193359375	n/a	251720	2110	0
246.39453125	n/a	252309	1312	1104
246.39453125	n/a	252309	1311	1044
256.7548828125	n/a	262918	2110	0
257.330078125	n/a	263507	1312	1044
257.330078125	n/a	263507	1311	1042
263.810546875	n/a	270143	2110	0
264.384765625	n/a	270731	1312	1042
264.384765625	n/a	270731	1311	1091
269.509765625	n/a	275979	2110	0
270.0830078125	n/a	276566	1312	1091
270.0830078125	n/a	276566	1331	4036
276.8740234375	n/a	283520	2120	0
279.6474609375	n/a	286360	1332	4036
279.6474609375	n/a	286360	1311	1015
287.154296875	n/a	294047	2110	0
287.7265625	n/a	294633	1312	1015
287.7265625	n/a	294633	1311	1252
296.9697265625	n/a	304098	2110	0
297.5400390625	n/a	304682	1312	1252
297.5400390625	n/a	304682	1331	4021
304.28125	n/a	311585	2110	0
304.8486328125	n/a	312166	1332	4021
304.8486328125	n/a	312166	1311	1086
310.8916015625	n/a	318354	2110	0
311.46484375	n/a	318941	1312	1086
311.46484375	n/a	318941	1311	1007
318.78515625	n/a	326437	2110	0
319.40234375	n/a	327069	1312	1007
319.40234375	n/a	327069	1232	0
475.5068359375	n/a	486920	3242	0
491.5068359375	n/a	503304	1231	0
491.5068359375	n/a	503304	1331	4027
499.169921875	n/a	511151	2120	0
549.5927734375	n/a	562784	1332	4027
549.5927734375	n/a	562784	1311	1149
556.767578125	n/a	570131	2110	0
557.3388671875	n/a	570716	1312	1149
557.3388671875	n/a	570716	1311	1177
562.19921875	n/a	575693	2110	0
562.7734375	n/a	576281	1312	1177
562.7734375	n/a	576281	1311	1099
567.7939453125	n/a	581422	2110	0
568.365234375	n/a	582007	1312	1099
568.365234375	n/a	582007	1311	1230
575.767578125	n/a	589587	2110	0
576.33984375	n/a	590173	1312	1230
576.33984375	n/a	590173	1311	1074
584.294921875	n/a	598319	2110	0
584.8662109375	n/a	598904	1312	1074
584.8662109375	n/a	598904	1311	1108
592.318359375	n/a	606535	2110	0
592.8916015625	n/a	607122	1312	1108
592.8916015625	n/a	607122	1311	1245
598.990234375	n/a	613367	2120	0
601.4990234375	n/a	615936	1312	1245
601.4990234375	n/a	615936	1311	1142
610.4375	n/a	625089	2110	0
611.0087890625	n/a	625674	1312	1142
611.0087890625	n/a	625674	1311	1043
619.0478515625	n/a	633906	2110	0
619.6220703125	n/a	634494	1312	1043
619.6220703125	n/a	634494	1311	1116
626.3095703125	n/a	641342	2110	0
626.87890625	n/a	641925	1312	1116
626.87890625	n/a	641925	1311	1169
632.0048828125	n/a	647174	2110	0
632.57421875	n/a	647757	1312	1169
632.57421875	n/a	647757	1311	1154
637.98046875	n/a	653293	2110	0
638.556640625	n/a	653883	1312	1154
638.556640625	n/a	653883	1311	1022
645.900390625	n/a	661403	2110	0
646.47265625	n/a	661989	1312	1022
646.47265625	n/a	661989	1311	1026
655.060546875	n/a	670783	2110	0
655.6328125	n/a	671369	1312	1026
655.6328125	n/a	671369	1311	1164
662.587890625	n/a	678491	2110	0
663.16015625	n/a	679077	1312	1164
663.16015625	n/a	679077	1321	4018
667.8916015625	n/a	683922	2110	0
668.46484375	n/a	684509	1322	4018
668.46484375	n/a	684509	1311	1145
677.443359375	n/a	693703	2110	0
678.015625	n/a	694289	1312	1145
678.015625	n/a	694289	1311	1095
685.7470703125	n/a	702206	2110	0
686.3193359375	n/a	702792	1312	1095
686.3193359375	n/a	702792	1331	4025
691.5625	n/a	708161	2110	0
692.134765625	n/a	708747	1332	4025
692.134765625	n/a	708747	1311	1040
698.6669921875	n/a	715436	2110	0
699.2392578125	n/a	716022	1312	1040
699.2392578125	n/a	716022	1321	4013
701.970703125	n/a	718819	2120	0
704.9345703125	n/a	721854	1322	4013
704.9345703125	n/a	721854	1311	1225
712.3935546875	n/a	729492	2110	0
712.962890625	n/a	730075	1312	1225
712.962890625	n/a	730075	1311	1255
718.3935546875	n/a	735636	2110	0
718.966796875	n/a	736223	1312	1255
718.966796875	n/a	736223	1321	4003
724.2978515625	n/a	741682	2120	0
727.1328125	n/a	744585	1322	4003
727.1328125	n/a	744585	1311	1110
735.0888671875	n/a	752732	2110	0
735.66015625	n/a	753317	1312	1110
735.66015625	n/a	753317	1311	1008
741.2724609375	n/a	759064	2110	0
741.845703125	n/a	759651	1312	1008
741.845703125	n/a	759651	1311	1229
748.7607421875	n/a	766732	2110	0
749.33203125	n/a	767317	1312	1229
749.33203125	n/a	767317	1321	4012
751.0888671875	n/a	769116	2120	0
753.0517578125	n/a	771126	1322	4012
753.0517578125	n/a	771126	1311	1118
762.2080078125	n/a	780502	2110	0
779.447265625	n/a	798155	1312	1118
779.447265625	n/a	798155	1232	0
788.962890625	n/a	807899	1231	0
788.962890625	n/a	807899	1311	1158
794.126953125	n/a	813187	2110	0
828.1533203125	n/a	848030	1312	1158
828.1533203125	n/a	848030	1311	1052
835.708984375	n/a	855767	2110	0
845.0869140625	n/a	865370	1312	1052
845.0869140625	n/a	865370	1311	1083
851.8291015625	n/a	872274	2110	0
852.396484375	n/a	872855	1312	1083
852.396484375	n/a	872855	1311	1197
859.0927734375	n/a	879712	2110	0
859.6630859375	n/a	880296	1312	1197
859.6630859375	n/a	880296	1311	1084
865.1884765625	n/a	885954	2110	0
865.7607421875	n/a	886540	1312	1084
865.7607421875	n/a	886540	1331	4023
871.33203125	n/a	892245	2120	0
874.1220703125	n/a	895102	1332	4023
874.1220703125	n/a	895102	1311	1101
882.9873046875	n/a	904180	2120	0
888.287109375	n/a	909607	1312	1101
888.287109375	n/a	909607	1311	1200
894.4111328125	n/a	915878	2110	0
894.9833984375	n/a	916464	1312	1200
894.9833984375	n/a	916464	1311	1047
899.8193359375	n/a	921416	2110	0
900.3876953125	n/a	921998	1312	1047
900.3876953125	n/a	921998	1311	1256
906.8984375	n/a	928665	2110	0
907.4697265625	n/a	929250	1312	1256
907.4697265625	n/a	929250	1311	1182
913.001953125	n/a	934915	2110	0
913.57421875	n/a	935501	1312	1182
913.57421875	n/a	935501	1311	1246
921.7939453125	n/a	943918	2110	0
922.365234375	n/a	944503	1312	1246
922.365234375	n/a	944503	1311	1004
930.3876953125	n/a	952718	2110	0
930.9619140625	n/a	953306	1312	1004
930.9619140625	n/a	953306	1311	1061
937.7138671875	n/a	960220	2110	0
938.2880859375	n/a	960808	1312	1061
938.2880859375	n/a	960808	1311	1137
946.689453125	n/a	969411	2110	0
947.26171875	n/a	969997	1312	1137
947.26171875	n/a	969997	1311	1237
953.216796875	n/a	976095	2110	0
953.787109375	n/a	976679	1312	1237
953.787109375	n/a	976679	1311	1216
958.216796875	n/a	981215	2110	0
958.7919921875	n/a	981804	1312	1216
958.7919921875	n/a	981804	1311	1125
963.6884765625	n/a	986818	2110	0
964.2587890625	n/a	987402	1312	1125
964.2587890625	n/a	987402	1311	1018
969.17578125	n/a	992437	2110	0
969.748046875	n/a	993023	1312	1018
969.748046875	n/a	993023	1311	1050
975.7275390625	n/a	999146	2110	0
976.30078125	n/a	999733	1312	1050
976.30078125	n/a	999733	1351	4051
987.111328125	n/a	1010803	2120	0
990.771484375	n/a	1014551	1352	4051
990.771484375	n/a	1014551	1311	1239
996.134765625	n/a	1020043	2110	0
996.7080078125	n/a	1020630	1312	1239
996.7080078125	n/a	1020630	1311	1151
1002.294921875	n/a	1026351	2110	0
1002.86328125	n/a	1026933	1312	1151
1002.86328125	n/a	1026933	1311	1190
1007.0703125	n/a	1031241	2110	0
1007.6435546875	n/a	1031828	1312	1190
1007.6435546875	n/a	1031828	1311	1131
1014.1904296875	n/a	1038532	2110	0
1014.759765625	n/a	1039115	1312	1131
1014.759765625	n/a	1039115	1311	1247
1020.7265625	n/a	1045225	2110	0
1021.2998046875	n/a	1045812	1312	1247
1021.2998046875	n/a	1045812	1311	1011
1025.4248046875	n/a	1050036	2110	0
1056.9365234375	n/a	1082304	1312	1011
1056.9365234375	n/a	1082304	1311	1028
1062.6123046875	n/a	1088116	2110	0
1063.18359375	n/a	1088701	1312	1028
1063.18359375	n/a	1088701	1311	1032
1068.083984375	n/a	1093719	2110	0
1068.654296875	n/a	1094303	1312	1032
1068.654296875	n/a	1094303	1311	1185
1072.5322265625	n/a	1098274	2110	0
1073.1044921875	n/a	1098860	1312	1185
1073.1044921875	n/a	1098860	1311	1162
1077.740234375	n/a	1103607	2110	0
1078.310546875	n/a	1104191	1312	1162
1078.310546875	n/a	1104191	1311	1146
1081.923828125	n/a	1107891	2110	0
1082.4931640625	n/a	1108474	1312	1146
1082.4931640625	n/a	1108474	1311	1140
1087.9794921875	n/a	1114092	2110	0
1088.6748046875	n/a	1114804	1312	1140
1088.6748046875	n/a	1114804	1232	0
1093.3671875	n/a	1119609	1231	0
1093.3671875	n/a	1119609	1311	1006
1097.939453125	n/a	1124291	2110	0
1105.552734375	n/a	1132087	1312	1006
1105.552734375	n/a	1132087	1311	1240
